ticker,volatility,rmse,avg_price,len
ADYEY,Medium,5.087749910425327,16.389897922453564,1347
NMM,Medium,23.137862878777224,63.8295548306162,4339
MARK,High,10.280774175582751,214.81126306319214,5455
VIGI,Low,12.586773056032659,63.28233149124749,2251
GDRX,Medium-High,2.9044312529263463,17.561465515631728,1102
FTGS,Low,1.5370660490809864,26.471291003019914,575
GOVX,High,3.3177920960712797,26.679293623729187,1100
DFEM,Low,1.672710124078965,23.730984577608858,701
WABC,Medium-Low,6.103251963650995,21.801590186610238,11320
SDA,High,6.547074444079337,10.007639954415122,961
AAOI,High,20.194137004997387,17.415559072706102,2862
CRGY,Medium,2.303719073821797,12.139427068990328,797
JHMD,Low,1.226102893464037,26.644090477120322,2045
XLK,Medium-Low,12.312853914044895,53.15406493125306,6575
FTLS,Low,11.622861120537522,41.46429784762419,2623
CL,Medium-Low,16.07881604675344,21.786189256591026,13057
MPWR,Medium,152.90626914310394,147.81855075432898,5089
THQ,Medium-Low,4.812085923965465,13.030628148247214,2652
EFX,Medium-Low,40.42517306755037,48.29196329435774,11320
FFTY,Medium-Low,24.37388463389833,29.48504347063911,2477
EFSC,Medium,19.021651868271043,24.36279658247502,5431
WDC,Medium,10.988477758993549,22.27470509593873,11667
JG,High,13.895001665682914,46.921962306030174,1646
MYRG,Medium,36.72107842636176,47.16772829116439,4151
DBC,Low,1.056532205951734,19.45414578329184,4785
VFLO,Low,1.1749025072359331,30.037163459963914,410
CCL,Medium,3.247614087640898,22.19788964476876,9461
SPTN,Medium,3.4489356750222457,13.46827749927536,6169
OILD,High,13.139854519002908,45.654304805554844,817
REZI,Medium,5.922764867613039,19.546797489516344,1580
WBD,Medium,4.530934733007992,21.795143889549223,4931
BILS,Low,0.20492186771586526,91.40624215402009,1092
GMPR,High,1132.136650157333,177860758119.87158,7481
AHEXY,Medium-Low,9.238457149166006,19.0553927930497,3804
UDMY,Medium,2.998214174903106,11.71861044180046,824
ARTY,Medium-Low,3.661751869338131,30.67386494656583,1665
GFAI,High,4.805117258847391,15.47481082221295,846
FPEI,Low,2.325394073408697,15.591619464663017,1878
VINC,High,44.66484593668166,120.0017973855578,1185
VERV,High,15.27400275949306,21.22246190197847,918
HLVX,High,3.115027330903343,12.065429204864392,699
CLDT,Medium-Low,1.1751496304134859,12.430024587309072,3730
RELI,High,303.0665517459419,376.8767234583005,1007
GXO,Medium,9.826271270706805,57.88894859843073,894
AZTA,Medium,15.531626515259717,23.327355884221618,7557
FBEC,High,1.8133256478110718,1521.951771068715,4767
ILPT,Medium,3.54497132998888,13.349664898534838,1780
WTW,Medium-Low,57.14252155222548,113.38783119531033,5953
CDP,Medium,5.732824068631049,13.04794953944143,8339
CNK,Medium,8.16415269709015,21.36266122069696,4481
PFS,Medium-Low,6.55857435226066,12.21833506916597,5554
TPC,Medium,14.071710248178796,14.862601949760288,13056
TCHP,Medium-Low,1.346968932569181,29.866046222162918,1136
VYX,Medium,3.838902950946391,12.756093901943316,7087
GWW,Medium-Low,83.68424067080353,108.1678733158781,13106
TDTT,Low,0.4141648047487041,20.274562556334217,3366
WB,Medium,24.78561572968622,33.07854928994862,2722
TMO,Medium-Low,121.89100849484616,98.01725062231925,11320
CVLT,Medium,50.022266736853105,51.47353438376556,4626
USIO,High,3.7334418349314,12.2514441464635,6535
CNMD,Medium,43.644904254136335,31.52515047541055,9462
SGBX,High,19.781878950676138,213.97445240681958,1921
MUST,Low,0.4200084472187675,19.528975997417135,1593
SUI,Medium-Low,22.688204419663094,43.20034325725944,7847
QNCX,High,4.879776664816864,20.69138855346735,1449
FOXA,Medium-Low,10.868206163947928,33.16786833641513,1490
XOM,Medium-Low,15.812516530844205,21.23781740734712,15885
INVA,Medium,1.6675318740848215,15.385383737967006,5122
AIXI,High,6.364570287679907,21.410743821258386,484
CMA,Medium-Low,23.294389348778143,22.957253921974463,11320
WU,Medium-Low,1.1648044569159484,12.173282712052911,4620
EFV,Medium-Low,2.8871607792126763,35.59840384230694,4911
HIGH,Low,0.6073875805682677,22.3489673308261,573
WEX,Medium-Low,32.06422944961528,102.0320998597842,5029
DEO,Medium-Low,14.400755605225212,62.903155319920444,8541
ANGO,Medium,6.531181883495017,15.929696692915103,5209
HOMB,Medium-Low,5.01317464274425,13.093558982125883,4689
DCOM,Medium-Low,12.280207504690845,16.200295256318498,6562
SAH,Medium,10.530479183868827,20.537716224828753,6854
NEAR,Low,4.072535467076126,43.06891239127539,2857
CALX,Medium,14.536031741489651,19.526009095650718,3746
OEC,Medium,3.9456171367061588,18.049786943372425,2654
IVOL,Low,0.9886481092137042,21.546437702732955,1446
FCPT,Medium-Low,2.546082663659447,20.26163148306243,2327
SNCY,Medium,6.389195956971938,20.716527513476837,982
BLV,Low,5.230621017884567,60.75748868180765,4491
XLU,Low,18.097775626727902,30.5716830540066,6575
STIP,Low,1.328114231720319,84.68171733151834,3569
PGF,Medium-Low,1.5824418834622953,10.876655943195242,4577
WJRYY,Medium-Low,1.9998394639615127,26.564402970474323,3534
GMNI,High,0.03654473676217277,17351.21001864425,5883
STRL,High,37.47935370056511,14.43581202369008,8458
FAF,Medium-Low,3.959440076696415,35.428525478775434,3700
BSY,Medium-Low,9.552419987406575,46.11768911711317,1102
ETNB,High,4.310157624084313,15.5126856202429,1320
HPE,Medium-Low,4.16454060484448,12.832848493532904,2343
FTDR,Medium,7.720128835306007,38.36116623109387,1612
DY,Medium,67.26648659329514,31.372422320227283,10254
MUB,Low,1.9764720583186774,87.85559083075181,4385
VGIT,Low,1.7187023303365843,53.940619923104315,3828
SGRY,Medium-High,12.899491409836871,24.49426782151434,2356
SE,Medium-High,47.643664768783665,89.88214484283829,1837
XLP,Low,9.884793597738462,32.44532621652001,6575
ARMN,High,1.690115538775714,53.65521349538192,3608
MRNA,Medium-High,62.38242980137775,114.15494197887217,1553
APP,Medium-High,134.68893474918661,72.54825874871871,962
RDCM,High,2.834670565476486,10.19341644652958,6888
ENGN,High,3.946341768249054,10.105102618117082,760
AOR,Low,3.2002246647718313,35.33591327849467,4082
PED,High,0.8203746164193155,1424.919461002034,5481
BBW,Medium-High,5.865543606989509,12.18764755976889,5105
CYTK,Medium-High,14.707754059697168,23.689546832391,5230
APM,High,14.00682267428933,44.56067852577602,1546
GDLC,High,9.169914299294627,18.197721586438373,1311
IGLB,Low,3.2074665128003437,43.46537575085875,3817
ACON,High,1731.085985625733,2609.747585295276,704
BLEG,High,11.535440644372766,1485.5038048664662,7558
MNMD,High,12.99023062661771,10.480577002601443,2071
SPLB,Low,1.3938106457822168,19.09424619029697,4007
PDPR,High,263.61816433432296,411.84856339341883,1454
IBMP,Low,0.4512236445192897,24.541249454508684,1468
RXST,Medium-High,33.077035276848,27.262432473199862,888
RELY,Medium-High,13.193365651439697,16.910711773143095,850
QLTA,Low,1.7947882769328354,42.78205478432276,3266
USHY,Low,2.082742598851701,30.812321092155027,1833
MOAT,Low,3.6664652767151606,46.552844006958196,3219
TNDM,Medium-High,35.40602591474579,73.54018392729851,2827
CGMU,Low,1.7910755888553933,25.791613299672196,574
GOGO,Medium-High,5.136021089613322,11.701056332138872,2929
HRTX,Medium-High,5.4467538081208975,215.19310235189644,9438
VYM,Low,16.904703496339195,58.16552822507231,4587
CGSD,Low,0.9458483012415791,24.235161040302767,574
CHWY,Medium-High,31.346076008517606,43.24297045723776,1424
MPNGY,Medium-High,31.668995235654634,45.233815139194704,1325
GTE,Medium-High,6.819656464155395,31.423844236203568,4815
RPTX,Medium-High,1.7578600665835185,15.747581338841622,1168
DAR,Medium-High,21.217293945010884,16.932393577320514,7658
BOOM,Medium-High,22.04497823042644,14.077830819460175,9094
ENFY,Medium-High,5.912354589359269,36.60931764681721,4234
GPRE,Medium-High,13.923600248544618,17.474652703706646,4759
EXPI,Medium-High,8.851436284832959,15.605687807854508,1763
PLCE,Medium-High,46.427454125580184,44.30769508630816,6892
RDN,Medium-High,5.814449462769997,18.959128304023327,8127
FLGT,Medium-High,16.323517038261354,29.32260785390669,2104
OPRT,Medium-High,1.5793329502025368,11.1538794416295,1352
TWI,Medium-High,5.640270750100973,10.697216091786675,7988
EVER,Medium-High,12.107996593268743,20.399453452113153,1665
MRUS,Medium-High,27.865598957281062,22.231463096832318,2196
WRBY,Medium-High,4.351929366110637,19.365070929200375,846
CWH,Medium-High,3.148298337157015,21.227281602140376,2098
